"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 18 13:25:32 IST 2022","Tue Jan 18 13:25:33 IST 2022","1412","REST Assured Test Suite","All","ibo.tests.BasicTests","ibo.tests.BasicTests","requestToken_CheckResponseHas_String_Token","requestToken_CheckResponseHas_String_Token","Validate that login API is working and returning token string in response"
"passed","Tue Jan 18 13:25:30 IST 2022","Tue Jan 18 13:25:32 IST 2022","2194","REST Assured Test Suite","All","ibo.tests.BasicTests","ibo.tests.BasicTests","requestToken_CheckResponseCode_expect200","requestToken_CheckResponseCode_expect200","Validate that login API is working and returning status code 200"
"passed","Tue Jan 18 13:25:33 IST 2022","Tue Jan 18 13:25:35 IST 2022","1674","REST Assured Test Suite","All","ibo.tests.BasicTests","ibo.tests.BasicTests","requestToken_CompareLength_Greater_ThankZero","requestToken_CompareLength_Greater_ThankZero","Validate that login API is working and token string length is greater than 0"
